OBJECTID,Latitude,Longitude,Projection_y_coordinate,Projection_x_coordinate,HSD baseline 1981-2000 lower,HSD baseline 1981-2000 median,HSD baseline 1981-2000 upper,HSD baseline 2001-2020 lower,HSD baseline 2001-2020 median,HSD baseline 2001-2020 upper,HSD 1.5°C lower,HSD 1.5°C median,HSD 1.5°C upper,HSD 2°C lower,HSD 2°C median,HSD 2°C upper,HSD 2.5°C lower,HSD 2.5°C median,HSD 2.5°C upper,HSD 3°C lower,HSD 3°C median,HSD 3°C upper,HSD 4°C lower,HSD 4°C median,HSD 4°C upper,Shape__Area,Shape__Length
601,52.28488,1.19476,270000,618000,0.4,0.6,0.8,1.8,2.8,4.6,2.3,3.5,7.5,3.4,6.1,8.7,5.1,8.3,12.6,8.5,11.6,18.8,16,19.6,29.8,384000408.12561,78383.8055554522
602,52.28,1.37037,270000,630000,0.4,0.4,0.6,1.2,1.9,4,1.5,2.8,6.3,3,5.4,7.4,4.6,7,9.9,7.6,10.6,15.5,13.8,17.1,26.3,383865500.943726,78370.0353987651
603,52.27485,1.54594,270000,642000,0,0.1,0.2,0.4,1,2,0.5,1.3,3.6,1.5,2.5,4,2.2,3.7,5.2,3.8,6.8,9.9,8.2,12.1,18,383718605.967896,78355.0391339865
604,52.26923,1.72195,270000,654000,0,0,0.2,0.2,0.6,1.4,0.3,0.8,2.2,0.7,1.6,3.2,1.2,2.3,3.7,2.1,5.4,7.3,6.6,9.6,14.8,386362724.182739,78625.955153409
605,52.41751,-4.08942,282000,258000,0.1,0.1,0.2,0.4,0.8,1.6,0.5,1.2,1.8,0.6,1.4,1.9,1,1.6,2.6,1.4,2.2,5.4,3.6,4.3,8.2,386556864.988525,78644.2885722755
606,52.4205,-3.91308,282000,270000,0.1,0.1,0.2,0.4,0.8,1.6,0.4,1,1.4,0.7,1.2,1.8,0.9,1.2,2.6,1.5,2.3,5,3.5,4.5,9.4,386639030.951172,78652.6464399152
607,52.42322,-3.73671,282000,282000,0,0,0,0.2,0.3,0.8,0.2,0.5,1.1,0.3,0.6,1,0.3,0.6,1.5,0.6,1.5,3,2.4,3.3,6.8,386714650.128906,78660.3374747456
608,52.42568,-3.56032,282000,294000,0,0.1,0.2,0.4,0.7,1.8,0.4,0.8,1.6,0.7,1.1,1.9,0.7,1.4,2.7,1.4,2.5,5.2,4.3,5.6,11.5,386786179.616211,78667.6118324847
609,52.42788,-3.3839,282000,306000,0,0.1,0.2,0.4,0.7,2.1,0.5,0.8,1.9,0.7,1.4,2.3,1,1.6,3.3,1.7,2.9,5.9,4.7,6.3,12.6,386848978.213379,78673.9977335726
610,52.42981,-3.20746,282000,318000,0,0.1,0.2,0.5,0.8,2.4,0.7,1,2.2,1,1.6,2.8,1.3,2.3,3.8,2.3,3.4,7,5.3,7.1,14.5,386903719.639648,78679.5639078126
611,52.43148,-3.03099,282000,330000,0.1,0.2,0.2,1,1.5,2.9,1,1.6,3.1,1.6,2.1,4.1,1.8,3.4,5.5,3.8,4.9,9.5,7.3,9.5,18.5,386950515.074219,78684.3220978753
612,52.43289,-2.85452,282000,342000,0.2,0.3,0.4,1.1,1.6,3.2,1.3,2.1,4.2,2,3.2,5.3,2.2,4.3,6.7,4.7,6.2,11.1,9.2,11.6,21.8,386980340.151245,78687.3551087599
613,52.43403,-2.67803,282000,354000,0.1,0.2,0.3,1,1.4,2.8,1.1,1.7,3.8,1.8,2.6,4.9,1.9,3.5,5.8,4.2,4.8,9.5,7.5,10.8,19.4,387015507.99646,78690.9298183909
614,52.43491,-2.50153,282000,366000,0.1,0.2,0.3,1,1.6,2.8,1.2,2.1,4.2,2,3.1,5.1,2.2,4,6,4.8,5.3,10,8.9,11.5,20,387039342.427979,78693.3528143102
615,52.43553,-2.32503,282000,378000,0.6,0.8,0.9,2,2.8,4.2,2.3,3.6,6.5,3.5,5.2,6.9,4.9,6.3,9.1,7.6,9.6,15,14,17.4,27.7,387057619.597412,78695.2106230676
616,52.43588,-2.14852,282000,390000,1.1,1.2,1.5,2.6,3.8,5.6,3,4.6,8.4,4.4,6.9,9.2,6.3,8.4,11.7,9.4,12.5,17.2,16.6,20.8,31,387070125.17334,78696.481504581
617,52.43597,-1.972,282000,402000,0.6,0.8,0.9,2,2.7,3.8,2.1,3.4,5.9,3.5,5.1,6.9,4.6,5.9,8.5,7.2,8.6,13.6,12.5,16.6,26.1,387066258.91626,78696.0894843677
618,52.4358,-1.79549,282000,414000,0.8,1,1.2,2.4,3.2,4.6,2.6,4,7.1,4,6.1,8.1,5.5,7.1,10.2,8.4,10.5,15.3,14.8,18.6,28.2,387064367.183472,78695.8963620272
619,52.43537,-1.61898,282000,426000,0.8,1,1.2,2.4,3.2,4.5,2.8,4,7.2,4.1,6.3,8,5.5,7.3,10.1,8.5,10.7,16,15.2,18.9,28.3,387050105.441162,78694.4465146391
620,52.43467,-1.44247,282000,438000,1,1.1,1.2,2.7,3.6,4.8,3.1,4.3,7.7,4.6,7,9,6.3,8.4,11.3,9.4,12.3,18,16.2,21.1,30.7,387032538.148254,78692.660907525
621,52.4337,-1.26598,282000,450000,0.9,1,1.2,2.6,3.6,4.6,2.7,4.3,7.6,4.4,6.8,9,6.1,8.4,11.6,9.1,11.9,17.5,16.1,20.2,29.7,387007276.968079,78690.0926792067
622,52.43248,-1.08949,282000,462000,0.8,0.9,1,2.2,3.2,4,2.4,3.9,6.8,3.9,6.1,8.4,5.3,7.8,10.5,8.3,10.5,16.3,15,18.7,28.2,386972372.555969,78686.5447777758
623,52.43099,-0.91302,282000,474000,0.6,0.8,1,2.1,3.2,4,2.5,3.8,6.9,4.1,6.2,8.5,5.3,7.8,10.1,8.5,10.6,16.4,14.6,18.5,28.1,386934787.154297,78682.7237372202
624,52.42923,-0.73657,282000,486000,0.9,1,1.2,2.5,3.8,4.9,3.2,4.3,7.7,4.8,7,9.6,6.4,9.1,11.7,10,12.3,17.8,16.9,20.7,30.3,386889289.424622,78678.0973360283
625,52.42722,-0.56013,282000,498000,1.2,1.4,1.6,3.4,4.4,6,4.3,5.1,9.2,5.6,8.3,11.5,7.6,11,14,11.8,14.4,20.8,19.3,23.9,33.9,386825235.010742,78671.5840867439
626,52.42494,-0.38372,282000,510000,1.2,1.4,1.6,3.4,4.5,6.4,4.2,5.3,9.6,5.6,8.6,11.8,7.8,11.1,14.2,12,14.7,21.5,19.4,24.3,34.4,386768166.437027,78665.7800748384
627,52.42239,-0.20733,282000,522000,1.6,1.6,2,3.8,4.7,7.4,4.4,5.6,10.7,6.4,9.7,12.6,8.9,11.9,16.2,13,16.1,23.6,20.9,25.5,37.6,386699009.549461,78658.7470723948
628,52.41959,-0.03097,282000,534000,1.5,1.8,2,4.2,4.9,7.6,4.8,6.2,11.3,6.9,10.4,13.2,9,12.6,17.3,13.4,16.7,25.1,21.8,26.5,38.4,386617757.574692,78650.4827014765
